history;Population;block;Individual;t;Treatment;Transplanting Date;Initial height(cm);Initial height;Flowering date;1cm bud date;Days to flowering;Days to achieve 1 cm bud;Total days;Total days1;Width (cm);Height (cm);vollum (cm3);N? buds;N? leaves;Bud biomass (mg);Roots biomass (mg);Aboveground biomass without leaves(mg);Aboveground biommas(mg);Total biomass(mg);Total.biomass1;root_shoot ratio;Stage;Flowering;Estmating the remain days;;flower sex;SLA LL(cm2/mg);SLA LM(cm2/mg);SLA LH(cm2/mg);SLA (cm2/mg);Fresh weight LL(mg);Turgid weight LL(mg);Dry weight LL(mg);Fresh weight LM(mg);Turgid weight LM(mg);Dry weight LM(mg);Fresh weight LH(mg);Turgid weight LH(mg);Dry weight LH(mg);RWC;Moisture (%);Leaves density;Relative growth rate;initial biomass_exp;initial biomass_linear;relative efficiency index 
MP;nh-12;na;3;elevated;elevated;20.01.2017;14.4;14.4;27.02.2017;06.03.2017;38;7;45;45;16.1;54.6;11110;18;92;2;1722;5310;5464.5;7188.5;7.1885;0.32;5;1;;;M;0.342;0.365;0.252;0.32;543.3;703.8;94.5;24.1;29.9;5.6;177.9;244;54.4;0.716;15.45;1.68;0.89;87.70972652;144.63798;0.81
MP;nh-12;na;1;elevated;elevated;20.01.2017;9.4;9.4;28.02.2017;07.03.2017;39;7;46;46;19.3;47.6;13918.46;14;82;2.2;2265.7;6490;6691.1;8959;8.959;0.34;5;1;;;M;0.408;0.234;0.246;0.296;73.2;104.8;14;467.1;635.3;129.6;202.1;296.4;57.5;0.642;12.1;1.72;0.83;23.82291184;70.16948;0.77
MP;nh-12;na;4;ambient;ambient;20.01.2017;12.2;12.2;24.02.2017;09.03.2017;35;13;48;48;17.6;60.6;14735.59;18;153;2.2;3098.9;8050;8234.5;11335.6;11.3356;0.38;5;1;;;M;0.254;0.278;0.308;0.28;85.6;121.4;32.5;507.2;661.8;143.6;29.3;46.1;8.4;0.618;20.5;2.52;1.01;49.42930169;111.87184;48.4
MP;nh-12;na;2;ambient;ambient;20.01.2017;10.6;10.6;27.02.2017;15.03.2017;38;16;54;54;21.6;61.9;22670.85;18;126;2.9;3653;10230;10447.8;14103.7;14.1037;0.35;5;1;;;M;0.624;0.247;0.279;0.383;69.8;79.4;17;533.7;578.3;189.7;26.7;32.9;11.1;0.816;19.5;2.04;0.95;32.57223375;88.04192;51.3
MP;ny-14;na;1;ambient;ambient;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
MP;vb-2;na;4;elevated;elevated;20.01.2017;15.2;15.2;16.02.2017;21.02.2017;27;5;32;32;29.5;51;34840.46;6;73;48.3;1922.1;5160;5267.5;7237.9;7.2379;0.36;5;1;;;M;0.481;0.588;0.236;0.435;161.7;230.2;42.2;45.8;63.1;10.5;282;369.1;54.8;0.677;10.23;1.43;1.12;108.0478733;156.55294;0.85
MP;vb-2;na;3;elevated;elevated;20.01.2017;16.2;16.2;22.02.2017;23.02.2017;33;1;34;34;15.4;56.1;10444.17;1;69;7.5;1814;5650;5995.6;7817.1;7.8171;0.3;5;1;;;M;0.364;0.25;0.275;0.297;285;595.8;50.2;839.2;1296.8;199.2;347.8;554.2;96.2;0.521;7.4;1.23;1.17;140.2254381;171.44664;0.94
MP;vb-2;na;2;ambient;ambient;20.01.2017;11.6;11.6;17.02.2017;24.02.2017;28;7;35;35;20.3;50.7;16400.98;1;72;9.9;2143.1;5440;5667;7820;7.82;0.38;5;1;;;M;0.53;0.267;0.247;0.348;66.1;76.8;8.3;670.7;874.2;142;278.6;406;76.7;0.726;18.77;1.42;1.12;42.27251875;102.93562;39.1
MP;vb-2;na;1;ambient;ambient;20.01.2017;12.3;12.3;17.02.2017;24.02.2017;28;7;35;35;21.9;57.8;21761.34;4;114;5.4;1612.1;6670;6868.8;8486.3;8.4863;0.23;5;1;;;M;0.411;0.293;0.353;0.353;88.6;101.4;13.4;922.2;1071;175.2;51.9;64.1;10.2;0.821;14.9;1.97;1.3;50.73475101;113.36121;45.5
MP;vb-6;na;1;ambient;ambient;20.01.2017;8.9;8.9;09.03.2017;21.03.2017;48;12;60;60;22;57.6;21884.54;13;84;5.5;2690.7;7630;7946.7;10642.9;10.6429;0.34;5;1;;;M;0.36;0.178;0.251;0.263;118.6;142.4;28.3;809.7;945.7;281.4;20.6;27.4;7;0.751;15.65;1.46;0.81;20.91171023;62.72263;48.7
MP;vb-6;na;2;elevated;elevated;20.01.2017;8.8;8.8;01.03.2017;13.03.2017;40;12;52;52;13.5;63.4;9070.4;5;95;4.9;3248.9;8080;8343;11596.8;11.5968;0.39;5;1;;;M;0.299;0.2;0.199;0.233;33.8;46.2;8.6;598.1;691.3;169.3;234.3;305.1;85.1;0.723;13.25;1.5;1.05;20.37363372;61.23326;1.12
MP;vb-7;na;2;elevated;elevated;20.01.2017;11.6;11.6;24.02.2017;07.03.2017;35;11;46;46;20.6;53.2;17722.12;18;104;4.5;1594.8;5400;5548.2;7147.5;7.1475;0.29;5;1;;;M;0.411;0.254;0.228;0.297;50.8;83.1;10.9;469.6;613.1;130.8;16.7;23.1;6.5;0.623;9.15;1.95;0.9;42.27251875;102.93562;0.73
